gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	Gene_log2_P.value
AC003682.16	19_58133460	"NA"	0	1	-0
AC003958.2	17_39556895	"NA"	0	1	-0
AC004076.7	19_57900763	"NA"	0	1	-0
AC004076.9	19_57963294	"NA"	0	1	-0
AC004076.9	19_57988589	"NA"	0	1	-0
AC004221.2	19_1232134	"NA"	0	1	-0
AC004231.2	17_39072966	"NA"	0	1	-0
AC004458.1	7_96097482	"NA"	0	1	-0
AC004485.3	7_24292338	"NA"	0	1	-0
AC004540.4	7_26414940	"NA"	0	1	-0
AC004706.1	17_6553364	UP	0	1	-0
AC004840.8	7_2414681	"NA"	0	1	-0
AC004854.4	7_44884667	"NA"	0	1	-0
AC004875.1	7_121209377	"NA"	0	1	-0
AC005037.1	2_201697328	"NA"	0	1	-0
AC005037.2	2_201697328	"NA"	0	1	-0
AC005037.3	2_201822381	"NA"	0	1	-0
AC005071.1	7_99800318	UP	0	1	-0
AC005154.6	7_30632312	"NA"	0	1	-0
AC005329.7	19_1378482	"NA"	0	1	-0
AC005522.6	7_75982515	"NA"	0	1	-0
AC005609.1	5_140227249	DOWN	0	1	-0
AC005618.1	5_140699383	"NA"	0	1	-0
AC005754.7	5_140473932	"NA"	0	1	-0
AC005754.8	5_140498228	"NA"	0	1	-0
AC006042.6	7_8153167	"NA"	0	1	-0
AC006042.7	7_8007422	UP	0	1	-0
AC006070.12	17_39329339	"NA"	0	1	-0
AC006116.1	19_56901262	"NA"	0	1	-0
AC006262.10	19_46729433	DOWN	0	1	-0
AC006369.2	2_37826702	"NA"	0	1	-0
AC006435.1	17_2314092	"NA"	0	1	-0
AC006445.7	4_13627599	"NA"	0	1	-0
AC006994.2	2_211030130	"NA"	0	1	-0
AC006994.3	2_211030130	"NA"	0	1	-0
AC007009.1	7_8298709	"NA"	0	1	-0
AC007038.7	2_210893932	"NA"	0	1	-0
AC007041.1	2_20549888	"NA"	0	1	-0
AC007056.1	14_78856357	DOWN	0	1	-0
AC007098.1	2_63083481	"NA"	0	1	-0
AC007099.2	2_75699717	"NA"	0	1	-0
AC007128.1	7_8298709	"NA"	0	1	-0
AC007163.6	2_201674570	"NA"	0	1	-0
AC007228.11	19_57074833	"NA"	0	1	-0
AC007292.7	19_4326634	UP	0	1	-0
AC007383.3	2_206947984	"NA"	0	1	-0
AC007383.4	2_206976307	"NA"	0	1	-0
AC007391.2	2_37550327	"NA"	0	1	-0
AC007405.8	2_171664227	"NA"	0	1	-0
AC007421.1	17_7516998	"NA"	0	1	-0
AC007556.3	2_169956259	"NA"	0	1	-0
AC007563.5	2_217552337	"NA"	0	1	-0
AC007620.3	3_179112683	"NA"	0	1	-0
AC008045.1	14_79082516	"NA"	0	1	-0
AC008060.8	7_155247684	"NA"	0	1	-0
AC008074.3	2_64676041	"NA"	0	1	-0
AC008074.5	2_64676041	"NA"	0	1	-0
AC008278.2	2_15701485	"NA"	0	1	-0
AC008278.3	2_15818632	"NA"	0	1	-0
AC008440.10	19_54361185	UP	0	1	-0
AC008440.5	19_54373773	"NA"	0	1	-0
AC008753.6	19_54361185	UP	0	1	-0
AC008937.2	5_56154298	"NA"	0	1	-0
AC008937.3	5_56200127	"NA"	0	1	-0
AC009133.12	16_29830119	"NA"	0	1	-0
AC009133.14	16_29819843	"NA"	0	1	-0
AC009133.15	16_29815642	"NA"	0	1	-0
AC009133.17	16_29750176	DOWN	0	1	-0
AC009133.20	16_29830119	"NA"	0	1	-0
AC009303.1	2_118749134	"NA"	0	1	-0
AC009336.1	2_176969047	"NA"	0	1	-0
AC009487.4	2_162278434	"NA"	0	1	-0
AC009487.5	2_162278434	"NA"	0	1	-0
AC009501.4	2_63274196	"NA"	0	1	-0
AC010127.3	2_166809901	"NA"	0	1	-0
AC010127.3	2_166935132	DOWN	0	1	-0
AC010327.2	19_55738449	"NA"	0	1	-0
AC010458.1	19_48552650	"NA"	0	1	-0
AC010492.4	19_54738657	"NA"	0	1	-0
AC010492.5	19_54764090	"NA"	0	1	-0
AC010524.2	19_49886970	"NA"	0	1	-0
AC010731.3	2_207503231	"NA"	0	1	-0
AC010731.4	2_207503231	"NA"	0	1	-0
AC010761.8	17_27048612	"NA"	0	1	-0
AC010883.5	2_43455071	"NA"	0	1	-0
AC010974.3	2_133415643	"NA"	0	1	-0
AC011385.1	5_137868628	DOWN	0	1	-0
AC011385.2	5_137868628	DOWN	0	1	-0
AC011407.1	5_171863813	"NA"	0	1	-0
AC011465.1	19_38543471	"NA"	0	1	-0
AC011523.2	19_51319574	"NA"	0	1	-0
AC011558.5	19_1036370	DOWN	0	1	-0
AC011897.1	2_14769545	UP	0	1	-0
AC012047.1	10_77883554	"NA"	0	1	-0
AC012360.6	2_105988215	"NA"	0	1	-0
AC012362.3	2_209222656	UP	0	1	-0
AC012362.3	2_209222656	UP	0	1	-0
AC012363.4	2_120972997	"NA"	0	1	-0
AC012456.4	2_11885173	"NA"	0	1	-0
AC012467.1	3_53915522	"NA"	0	1	-0
AC012506.4	2_23600229	"NA"	0	1	-0
AC012531.23	12_54347781	"NA"	0	1	-0
AC012531.25	12_54410340	"NA"	0	1	-0
AC013264.2	2_198059736	"NA"	0	1	-0
AC013267.1	2_25186447	"NA"	0	1	-0
AC013268.1	2_110883581	"NA"	0	1	-0
AC013436.6	7_44812016	"NA"	0	1	-0
AC013733.3	2_182542400	"NA"	0	1	-0
AC015933.2	18_25531042	"NA"	0	1	-0
AC015977.6	2_26893511	"NA"	0	1	-0
AC016757.3	2_239134204	"NA"	0	1	-0
AC016999.2	2_239330477	"NA"	0	1	-0
AC017028.1	2_240081688	"NA"	0	1	-0
AC017083.1	2_68454688	"NA"	0	1	-0
AC018450.1	3_142882975	"NA"	0	1	-0
AC018470.1	2_175195359	UP	0	1	-0
AC018755.1	19_52089926	"NA"	0	1	-0
AC018755.16	19_52089926	"NA"	0	1	-0
AC018755.2	19_52188083	"NA"	0	1	-0
AC018878.3	2_106795423	"NA"	0	1	-0
AC019051.1	2_221323838	"NA"	0	1	-0
AC019131.1	4_99846712	"NA"	0	1	-0
AC019349.5	17_39649147	UP	0	1	-0
AC020907.1	19_35590055	"NA"	0	1	-0
AC020907.2	19_35628459	UP	0	1	-0
AC020907.2	19_35628459	UP	0	1	-0
AC020910.2	19_35165102	"NA"	0	1	-0
AC020922.1	19_55850741	"NA"	0	1	-0
AC020956.3	19_42338250	"NA"	0	1	-0
AC021106.1	4_37960847	"NA"	0	1	-0
AC022021.1	10_28596640	"NA"	0	1	-0
AC024580.1	19_56657382	"NA"	0	1	-0
AC025016.1	11_5953786	"NA"	0	1	-0
AC025165.8	12_57992706	"NA"	0	1	-0
AC025284.1	16_77464853	DOWN	0	1	-0
AC025284.1	16_77464853	DOWN	0	1	-0
AC026471.6	16_31497401	"NA"	0	1	-0
AC027228.1	15_78815584	"NA"	0	1	-0
AC027281.1	16_70905383	"NA"	0	1	-0
AC034228.2	5_131346228	"NA"	0	1	-0
AC034228.3	5_131338044	"NA"	0	1	-0
AC037199.1	19_51371886	"NA"	0	1	-0
AC037459.4	8_22432007	"NA"	0	1	-0
AC062017.1	2_240319726	"NA"	0	1	-0
AC062028.1	2_11272832	"NA"	0	1	-0
AC067968.3	19_44529346	"NA"	0	1	-0
AC069082.1	15_79400377	"NA"	0	1	-0
AC069257.8	3_195963352	"NA"	0	1	-0
AC073072.5	7_22758472	UP	0	1	-0
AC073254.1	2_233468031	"NA"	0	1	-0
AC073342.1	7_142916049	"NA"	0	1	-0
AC073342.12	7_142977819	"NA"	0	1	-0
AC073508.1	17_38820615	"NA"	0	1	-0
AC073635.5	7_76886834	"NA"	0	1	-0
AC074091.13	2_27937293	"NA"	0	1	-0
AC074117.10	2_27577243	"NA"	0	1	-0
AC074286.1	2_178255995	DOWN	0	1	-0
AC078785.1	3_112809412	"NA"	0	1	-0
AC079145.4	2_20184602	"NA"	0	1	-0
AC079305.10	2_178125221	"NA"	0	1	-0
AC079305.8	2_178073399	"NA"	0	1	-0
AC079612.1	2_240498105	"NA"	0	1	-0
AC079753.1	2_113594484	UP	0	1	-0
AC079834.2	2_222383486	"NA"	0	1	-0
AC079922.3	2_113402487	"NA"	0	1	-0
AC084082.3	8_67024487	"NA"	0	1	-0
AC084219.3	19_44594366	"NA"	0	1	-0
AC084219.4	19_44616755	"NA"	0	1	-0
AC084368.1	7_95932648	"NA"	0	1	-0
AC087269.1	8_8549756	"NA"	0	1	-0
AC087294.2	17_21116535	"NA"	0	1	-0
AC090627.1	17_46371490	"NA"	0	1	-0
AC090666.1	18_51611202	"NA"	0	1	-0
AC091177.1	17_29283181	"NA"	0	1	-0
AC091729.7	7_1098463	"NA"	0	1	-0
AC091814.3	12_10103061	"NA"	0	1	-0
AC092295.7	19_37061433	"NA"	0	1	-0
AC092535.3	4_1134385	"NA"	0	1	-0
AC092573.2	2_174217350	"NA"	0	1	-0
AC092669.1	2_66666185	"NA"	0	1	-0
AC092675.1	2_98902281	"NA"	0	1	-0
AC092675.3	2_98968858	"NA"	0	1	-0
AC092675.4	2_98960936	"NA"	0	1	-0
AC092687.4	2_10977784	"NA"	0	1	-0
AC092811.1	1_225596388	"NA"	0	1	-0
AC092958.1	3_147796068	"NA"	0	1	-0
AC092964.1	3_172028675	"NA"	0	1	-0
AC092965.1	3_166739867	"NA"	0	1	-0
AC093267.1	5_122111880	"NA"	0	1	-0
AC093311.1	5_93913103	"NA"	0	1	-0
AC093673.5	7_143072636	"NA"	0	1	-0
AC093817.1	4_158506469	"NA"	0	1	-0
AC093899.3	2_170428307	"NA"	0	1	-0
AC096574.4	2_239134204	"NA"	0	1	-0
AC096649.2	2_176031379	"NA"	0	1	-0
AC097372.1	4_147043195	"NA"	0	1	-0
AC097468.7	2_219822117	DOWN	0	1	-0
AC098789.1	19_54764090	"NA"	0	1	-0
AC099344.1	2_11597935	UP	0	1	-0
AC100791.2	17_77782841	"NA"	0	1	-0
AC100802.3	8_19931874	"NA"	0	1	-0
AC103563.8	2_95686995	"NA"	0	1	-0
AC103686.1	8_48792847	"NA"	0	1	-0
AC103794.1	11_16144657	"NA"	0	1	-0
AC103809.2	17_72345887	"NA"	0	1	-0
AC104076.3	2_181844443	"NA"	0	1	-0
AC104134.2	2_88836095	"NA"	0	1	-0
AC104389.16	11_5225324	"NA"	0	1	-0
AC104457.1	1_100838675	"NA"	0	1	-0
AC104623.2	2_16702524	"NA"	0	1	-0
AC104695.3	2_28614158	UP	0	1	-0
AC104801.1	2_172966044	"NA"	0	1	-0
AC105398.3	2_29320296	"NA"	0	1	-0
AC107993.1	17_40543687	"NA"	0	1	-0
AC108004.3	17_262444	"NA"	0	1	-0
AC108004.3	17_256417	"NA"	0	1	-0
AC108456.1	11_31456822	"NA"	0	1	-0
AC109994.1	X_149654590	"NA"	0	1	-0
AC113189.5	17_7486966	"NA"	0	1	-0
AC113189.5	17_7477838	"NA"	0	1	-0
AC114546.1	15_35268876	"NA"	0	1	-0
AC114730.11	2_242662180	"NA"	0	1	-0
AC114730.7	2_242687424	"NA"	0	1	-0
AC114730.8	2_242662180	"NA"	0	1	-0
AC114803.3	2_220160298	"NA"	0	1	-0
AC115617.2	X_48635171	"NA"	0	1	-0
AC115618.1	X_48425873	UP	0	1	-0
AC115618.1	X_48425873	UP	0	1	-0
AC117395.1	3_149684214	"NA"	0	1	-0
AC124309.1	15_23888995	"NA"	0	1	-0
AC125238.1	2_204626738	"NA"	0	1	-0
AC126614.1	12_57803443	"NA"	0	1	-0
AC131011.1	X_23759553	UP	0	1	-0
AC131011.1	X_23759553	UP	0	1	-0
AC131011.1	X_23759553	UP	0	1	-0
AC131011.1	X_23759553	UP	0	1	-0
AC131011.1	X_23759553	UP	0	1	-0
AC131951.1	4_44448220	DOWN	0	1	-0
AC132186.1	16_66519353	"NA"	0	1	-0
AC133528.2	2_242628915	"NA"	0	1	-0
AC135048.1	16_30984589	"NA"	0	1	-0
AC135050.5	16_31072183	"NA"	0	1	-0
AC136932.1	16_33960920	"NA"	0	1	-0
AC142293.3	4_75513396	"NA"	0	1	-0
AC142528.1	2_3517384	"NA"	0	1	-0
AC144449.1	2_150438437	"NA"	0	1	-0
AC144522.1	12_111066104	"NA"	0	1	-0
ACAD8	11_134121555	"NA"	-0.2887691001682722	0.22281576157880165	2.166076804995361
ACAP1	17_7253060	"NA"	0.5274758249878131	0.14598952146034427	2.7760632729034045
ACAP1	17_7238218	"NA"	0.5274758249878131	0.14598952146034427	2.7760632729034045
ACAP2	3_195162417	"NA"	-0.09320333737063269	0.713788885243508	0.4864306582369313
ACBD3	1_226364150	"NA"	-0.0788496437616617	0.6750495496237464	0.5669346929122774
ACE2	X_15618031	DOWN	-1.5159414262575317	0.007672717580998317	7.02604663180657
ACIN1	14_23516229	"NA"	-0.21324500596807638	0.20001517838877017	2.321818610110779
ACLY	17_40058447	"NA"	0.04428670605910323	0.8479910087097221	0.23787912698410557
ACN9	7_96743050	"NA"	0	1	-0
ACOT11	1_55000713	"NA"	0.7336368306733476	0.22498812553493544	2.1520792342625237
ACOT13	6_24666035	"NA"	0.20994480847609687	0.2994112190683371	1.7397998140688313
ACOT9	X_23759553	UP	0.03634891316198985	0.9288382431668283	0.10650072120747404
ACOT9	X_23759553	UP	0.03634891316198985	0.9288382431668283	0.10650072120747404
ACOT9	X_23759553	UP	0.03634891316198985	0.9288382431668283	0.10650072120747404
ACOT9	X_23759553	UP	0.03634891316198985	0.9288382431668283	0.10650072120747404
ACOT9	X_23759553	UP	0.03634891316198985	0.9288382431668283	0.10650072120747404
ACOX2	3_58521219	"NA"	-1.6266600916755765	0.13615987388196374	2.8766264890460147
ACP1	2_262406	"NA"	-0.07979090997672422	0.6592919482835315	0.601010632581678
ACP6	1_147138865	"NA"	0.044976271179973715	0.9644682630044339	0.05219432945844007
ACRBP	12_6754441	"NA"	-0.19198621582466435	0.6578741201344823	0.6041165346824697
ACRBP	12_6749804	"NA"	-0.19198621582466435	0.6578741201344823	0.6041165346824697
ACRC	X_70795538	"NA"	0	1	-0
ACSBG2	19_6126548	"NA"	-0.03561386063622368	0.9441866247896848	0.08285604880869121
ACSL4	X_108974844	UP	0.2549339631877512	0.45849172813957695	1.1250323891578984
ACSL4	X_108974844	UP	0.2549339631877512	0.45849172813957695	1.1250323891578984
ACSL4	X_108974844	UP	0.2549339631877512	0.45849172813957695	1.1250323891578984
ACSL4	X_108974844	UP	0.2549339631877512	0.45849172813957695	1.1250323891578984
ACSL6	5_131346228	"NA"	-0.14986109002618742	0.8786068250551362	0.18671038849680305
ACSS1	20_25036380	"NA"	0.23528756685505314	0.4003525023374618	1.3206572713301021
ACSS2	20_33452578	"NA"	-0.1218341253474966	0.7443740196880497	0.4259003918832327
ACTG2	2_74117980	"NA"	1.1120793523342645	0.07808535631190087	3.678804170947008
ACTN2	1_236840537	DOWN	0.6064839363928858	0.5038668405641945	0.9888855790990448
ACTN3	11_66309669	UP	-0.1028322373815782	0.8726899444734342	0.19645892101421134
ACTR3	2_114645986	"NA"	0.03150169543826031	0.8869580500252057	0.17306222311389083
ACTR8	3_53915522	"NA"	-0.26849890725318026	0.2952516704302597	1.7599828729799696
ACTRT2	1_2927637	DOWN	-0.2888405745946425	0.4152323788875183	1.268009148688864
ACTRT3	3_169484905	"NA"	0.13806943149445977	0.8225852217026187	0.2817629418040672
ACY1	3_52002602	"NA"	-0.21138962120495863	0.5893696011529603	0.7627554446678574
AD000090.2	19_36033658	"NA"	0	1	-0
AD000671.6	19_36230209	"NA"	0	1	-0
AD000684.2	19_35751275	"NA"	0	1	-0
ADAMTS12	5_33890114	DOWN	0.19064934443784765	0.8503147608101922	0.2339311126937292
ADAMTS15	11_130316168	"NA"	-0.7351941198585938	0.6417927645182164	0.6398205699178896
ADAMTS16	5_5138726	UP	0.9171546338334551	0.13399442868785147	2.8997550783200174
ADAMTS18	16_77464853	DOWN	-0.001102270256533533	0.9994599729404219	7.793048025838481e-4
ADAMTS18	16_77464853	DOWN	-0.001102270256533533	0.9994599729404219	7.793048025838481e-4
ADAMTS4	1_161164079	UP	-0.5990843301813317	0.33118376397597127	1.594296147308286
ADAMTS6	5_64777556	"NA"	0.2825064197952123	0.7490203915756033	0.4169230992680339
ADAMTS8	11_130296757	"NA"	0.6525401434005185	0.3461008705369666	1.5307355246125913
ADAR	1_154596617	"NA"	0.11967553808683107	0.4792964663295577	1.0610097913327734
ADCK2	7_140366555	"NA"	-0.13527103113514727	0.7097876021292971	0.4945407198443659
ADCK3	1_227085018	"NA"	0	1	-0
ADCY4	14_24800814	DOWN	0.10632454944717118	0.879992000664213	0.1844376855175678
ADCY8	8_132053643	"NA"	0.6767360724335338	0.5563416212803669	0.8459570537060469
ADD3	10_111752628	"NA"	0.07701210801511849	0.8519658358373174	0.23113251591078923
ADHFE1	8_67336948	"NA"	0.2621528840454479	0.6118267600051979	0.7088048861891922
ADI1	2_3517384	"NA"	0.2843579303521615	0.28776324317125496	1.7970457706381018
ADIPOQ	3_186559823	"NA"	2.2395819395162393	0.0448161212717973	4.479838397331784
ADIPOQ-AS1	3_186571165	"NA"	-0.1776182805782085	0.7634034516778367	0.38948238526965223
ADIRF	10_88727385	"NA"	0.03873357495459118	0.7822325924896228	0.35433044625763566
ADIRF-AS1	10_88727385	"NA"	0.1327727399986316	0.8724756267293546	0.19681326578609373
ADNP2	18_77863651	UP	-0.19814807324441297	0.39270777577804805	1.3484719306356194
ADORA2A	22_24813221	UP	-0.20973536166103335	0.6067514238868522	0.7208225058791607
ADORA2A-AS1	22_24876900	"NA"	-0.21250446215069752	0.6281390358226522	0.6708441661991864
ADRM1	20_60871672	"NA"	0.07524813705761524	0.8649927359852401	0.20924007751612064
AE000662.92	14_23021261	"NA"	0	1	-0
AE000662.93	14_23021261	"NA"	0	1	-0
AEBP1	7_44139252	"NA"	0.585044730422644	0.4978614371021409	1.0061838221146338
AF003625.3	X_150334826	"NA"	0	1	-0
AF129408.17	21_40553065	"NA"	0	1	-0
AF131216.5	8_11203058	"NA"	0	1	-0
AF196779.1	X_49051482	UP	0	1	-0
AF196779.12	X_48935142	"NA"	0	1	-0
AF196970.3	X_48589819	UP	0	1	-0
AF196972.9	X_48364132	"NA"	0	1	-0
AF222686.1	X_49767413	DOWN	0	1	-0
AFF1	4_87852276	"NA"	-0.4268340308750602	0.1920347389230281	2.3805607780108127
AFF2	X_147579628	UP	-0.41144828084460183	0.6821198357595794	0.5519028787043213
AFF2	X_147579628	UP	-0.41144828084460183	0.6821198357595794	0.5519028787043213
AFF2	X_147579628	UP	-0.41144828084460183	0.6821198357595794	0.5519028787043213
AFF2	X_147579628	UP	-0.41144828084460183	0.6821198357595794	0.5519028787043213
AFF2	X_147579628	UP	-0.41144828084460183	0.6821198357595794	0.5519028787043213
AFG3L1P	16_90008861	UP	-0.29380710477614436	0.21821372902066427	2.1961862225249313
AFTPH	2_64750059	"NA"	-0.23856874779043213	0.28278154564059066	1.8222401221287599
AGAP7	10_51479000	"NA"	0	1	-0
AGGF1	5_76323564	"NA"	-0.1578643933543935	0.5845058042062659	0.7747107439404906
AGK	7_141249571	UP	0.03994368573517626	0.868443721158618	0.2034957356881873
AGPAT1	6_32097279	UP	0.2787011200596705	0.24053328882158195	2.0556915239923126
AGPAT2	9_139571983	"NA"	-0.21910652012284437	0.5836405685550472	0.7768479271575899
AGPAT4	6_161694042	"NA"	-0.18369392789093464	0.7535365960832923	0.4082505157705699
AGPAT5	8_6563788	"NA"	0.2348065101481529	0.5466385176768904	0.8713409751220937
AGPS	2_178255995	DOWN	0.20593850374946676	0.4693616368419514	1.091228166532175
AGTRAP	1_11793489	"NA"	-0.9951264899185794	0.08158653678930404	3.615525087943281
AHCTF1	1_247094208	"NA"	-0.13509329322089947	0.6146633392432805	0.7021316548295204
AHDC1	1_27928426	"NA"	0.253964400259882	0.6132697919909376	0.705406205409152
AHNAK	11_62312186	"NA"	-0.4941039150347475	0.4050280043288541	1.3039064330392172
AHNAK	11_62295575	"NA"	-0.4941039150347475	0.4050280043288541	1.3039064330392172
AHNAK	11_62320337	"NA"	-0.4941039150347475	0.4050280043288541	1.3039064330392172
AIFM1	X_129294928	UP	-0.1318335729062623	0.5242972517243305	0.9315431113715857
AIFM1	X_129294928	UP	-0.1318335729062623	0.5242972517243305	0.9315431113715857
AIMP1	4_107234896	"NA"	-0.24593531322814055	0.32966238445241924	1.6009388146728178
AJAP1	1_4706843	DOWN	-0.7969092776551792	0.6041049846382146	0.7271288041858186
AJUBA	14_23447711	UP	-0.06742168094229073	0.9338924180635935	0.09867173003333624
AK4	1_65610395	UP	1.9672210424217687	0.03213467217546162	4.959725435098909
AK8	9_135752465	DOWN	1.1024694593078033	0.1443566112661783	2.792290913032111
AKAP1	17_55160977	"NA"	-0.07917454972329718	0.7578152868346985	0.4000818523511565
AKAP4	X_49958463	"NA"	-0.392504495017584	0.21532477898210728	2.2154137444597573
AKIRIN2	6_88408434	"NA"	-0.16317005579708432	0.5484184112746884	0.8666510893996499
AKR1B15	7_134232972	"NA"	-1.2898276920909346	0.0012165623581920613	9.682974013256493
AKR7A2	1_19631463	"NA"	0.016653893378332896	0.9643456699681787	0.052377721295949704
AKTIP	16_53535280	"NA"	-0.1991773709719471	0.5427307623231853	0.881691411021277
AL009174.1	X_132876309	"NA"	0	1	-0
AL022314.1	22_37527483	"NA"	0	1	-0
AL035045.1	20_17822955	"NA"	0	1	-0
AL035422.1	X_100681618	"NA"	0	1	-0
AL079342.1	6_89673874	"NA"	0	1	-0
AL096677.1	20_23325253	"NA"	0	1	-0
AL109767.1	14_99728496	"NA"	0	1	-0
AL117190.1	14_101364465	"NA"	0	1	-0
AL117380.1	20_55627168	"NA"	0	1	-0
AL117380.2	20_55571641	"NA"	0	1	-0
AL121578.7	X_37846033	"NA"	0	1	-0
AL132819.1	14_99825062	"NA"	0	1	-0
AL133373.1	14_92039806	UP	0	1	-0
AL136115.1	1_32378903	"NA"	0	1	-0
AL136419.6	14_24683387	"NA"	0	1	-0
AL139333.1	6_83775216	"NA"	0	1	-0
AL139815.1	10_23358315	"NA"	0	1	-0
AL158069.1	X_68717238	"NA"	0	1	-0
AL162151.4	14_99619772	"NA"	0	1	-0
AL162458.1	20_44643933	UP	0	1	-0
AL163636.6	14_21148274	"NA"	0	1	-0
AL354933.1	6_72293772	DOWN	0	1	-0
AL356019.1	14_20684559	"NA"	0	1	-0
AL356310.1	1_211825492	"NA"	0	1	-0
AL356475.1	1_169990454	"NA"	0	1	-0
AL357060.1	6_138036420	"NA"	0	1	-0
AL359218.1	14_20498622	"NA"	0	1	-0
AL359878.1	10_1033144	"NA"	0	1	-0
AL391417.1	6_87182144	"NA"	0	1	-0
AL391538.1	6_48806228	"NA"	0	1	-0
AL450992.2	1_151812040	"NA"	0	1	-0
AL451051.1	1_100294153	"NA"	0	1	-0
AL590226.1	9_139571983	"NA"	0	1	-0
AL590233.1	9_92110901	"NA"	0	1	-0
AL590762.1	X_70520367	"NA"	0	1	-0
AL590822.1	1_2143648	"NA"	0	1	-0
AL590822.2	1_2104999	"NA"	0	1	-0
AL590867.1	6_153544048	DOWN	0	1	-0
AL591415.1	1_48084329	"NA"	0	1	-0
AL645608.1	1_850619	UP	0	1	-0
AL662800.1	6_30582511	"NA"	0	1	-0
AL662800.2	6_30612762	"NA"	0	1	-0
AL669914.1	6_30052641	"NA"	0	1	-0
AL731568.1	10_77582893	"NA"	0	1	-0
AL928654.1	14_105843910	"NA"	0	1	-0
ALAS1	3_52222062	"NA"	0.058811816646326065	0.8808184777070551	0.18308336097971892
ALCAM	3_105084064	"NA"	-0.6805231141326917	0.26213653150514105	1.931609672359092
ALDH16A1	19_49954367	"NA"	-0.05681073908201384	0.8668632536300384	0.20612366645704244
ALDH16A1	19_49968512	"NA"	-0.05681073908201384	0.8668632536300384	0.20612366645704244
ALDH1L2	12_105477212	"NA"	-0.3639859731361206	0.5909420502487323	0.7589114330427197
ALDH4A1	1_19219463	"NA"	0.013351603433411796	0.9802164452497666	0.02882774360871946
ALDH5A1	6_24494206	"NA"	0.1458988142399349	0.7464654155603425	0.4218526743874309
ALDH8A1	6_135269327	"NA"	-1.0299255705651016	0.15288311618212388	2.7094990050315757
