from	to	ver[el[, 1], ]	ver2[el[, 2], ]
70	71	12_57872772	12_57992706
70	786	12_57872772	12_58134516
70	788	12_57872772	12_58150540
71	776	12_57992706	12_57841970
71	777	12_57992706	12_57847046
71	2415	12_57992706	12_57921079
71	781	12_57992706	12_58024484
71	785	12_57992706	12_58130768
71	786	12_57992706	12_58134516
73	799	12_69736454	12_69977699
74	809	12_92528801	12_92814194
74	810	12_92528801	12_92815378
75	814	12_96388569	12_96248886
75	817	12_96388569	12_96792262
75	818	12_96388569	12_96882800
78	2416	12_119771541	12_108730472
78	2417	12_119771541	12_116285883
78	2418	12_119771541	12_117890795
78	2419	12_119771541	12_119409291
78	2420	12_119771541	12_119548317
78	2421	12_119771541	12_119607074
78	2422	12_119771541	12_119614373
78	80	12_119771541	12_130384559
79	2423	12_123199985	12_123011468
80	844	12_130384559	12_129149066
81	849	12_133407741	12_133327359
81	2424	12_133407741	12_133452881
81	852	12_133407741	12_133706248
82	849	12_133482695	12_133327359
82	852	12_133482695	12_133706248
82	853	12_133482695	12_133786908
82	2425	12_133482695	12_133806495
82	1193	12_133482695	19_37340147
82	1241	12_133482695	19_58070618
84	858	13_36048095	13_28489531
84	859	13_36048095	13_28541808
84	875	13_36048095	13_79174497
85	2426	13_46679137	13_46186486
85	2427	13_46679137	13_46625515
85	2428	13_46679137	13_46945347
86	873	13_53312334	13_53383736
87	86	13_53422385	13_53312334
87	875	13_53422385	13_79174497
88	878	13_100141813	13_98086199
88	2429	13_100141813	13_99912404
88	2430	13_100141813	13_101241374
89	858	13_100615888	13_28489531
89	859	13_100615888	13_28541808
89	875	13_100615888	13_79174497
89	2430	13_100615888	13_101241374
89	2431	13_100615888	13_101321379
89	2432	13_100615888	13_112706169
91	888	13_112708988	13_112239460
91	2432	13_112708988	13_112706169
92	919	14_45578653	14_39568943
92	920	14_45578653	14_39639318
92	921	14_45578653	14_39697194
92	922	14_45578653	14_39727047
92	923	14_45578653	14_39734691
92	924	14_45578653	14_39897769
92	925	14_45578653	14_45366137
92	926	14_45578653	14_45375425
92	927	14_45578653	14_45426838
92	928	14_45578653	14_45508577
92	929	14_45578653	14_45552997
92	930	14_45578653	14_45602375
92	931	14_45578653	14_45711855
93	2433	14_65371027	14_65452018
94	2434	14_78856357	14_78708356
94	2435	14_78856357	14_78749220
94	2436	14_78856357	14_79082516
94	2437	14_78856357	14_79161001
94	2438	14_78856357	14_79175288
95	952	14_93214374	14_92585886
98	2439	14_101505152	14_102094155
99	2440	15_25430240	15_25341678
100	2441	15_53074121	15_52569121
100	2442	15_53074121	15_53943212
100	989	15_53074121	15_55489125
100	2443	15_53074121	15_60294497
100	2444	15_53074121	15_76629022
101	2445	15_100888624	15_99779776
101	2446	15_100888624	15_100272601
101	2447	15_100888624	15_100504044
101	2448	15_100888624	15_100880331
101	2449	15_100888624	15_101082439
101	1003	15_100888624	15_101088150
101	1004	15_100888624	15_101139327
101	2450	15_100888624	15_101418763
101	2451	15_100888624	15_101457290
101	2452	15_100888624	15_101791053
101	2453	15_100888624	15_101816805
101	2454	15_100888624	15_101833589
101	2455	15_100888624	15_102181817
101	2456	15_100888624	15_102192119
103	2457	16_20361720	16_19603119
103	2458	16_20361720	16_20337960
103	2459	16_20361720	16_20708093
104	2460	16_31072183	16_30718025
104	2461	16_31072183	16_30960796
104	2462	16_31072183	16_30984589
104	2463	16_31072183	16_31016166
104	2464	16_31072183	16_31043450
104	2465	16_31072183	16_31085710
104	2466	16_31072183	16_31141369
104	2467	16_31072183	16_31158850
104	2468	16_31072183	16_31191436
104	2469	16_31072183	16_31209754
104	2470	16_31072183	16_31227702
104	1014	16_31072183	16_31278701
104	1015	16_31072183	16_31359193
104	2471	16_31072183	16_31403064
104	1016	16_31072183	16_31439056
104	1017	16_31072183	16_31466454
105	2472	16_49311138	16_48763330
105	2473	16_49311138	16_49093170
107	1026	16_75655746	16_74330045
107	1027	16_75655746	16_74698813
107	2474	16_75655746	16_74733464
107	2475	16_75655746	16_75030728
107	2476	16_75655746	16_75596471
107	1030	16_75655746	16_77219864
107	2477	16_75655746	16_78131604
108	2478	16_86542832	16_85831379
108	1035	16_86542832	16_86376427
110	1054	17_6345437	17_5384556
110	1055	17_6345437	17_5416343
110	1056	17_6345437	17_5480221
111	1061	17_8645439	17_8278830
111	1062	17_8645439	17_8281041
111	1063	17_8645439	17_8298643
111	1064	17_8645439	17_8336430
111	2479	17_8645439	17_8377785
112	2480	17_34342694	17_34391150
112	2481	17_34342694	17_34405627
112	2482	17_34342694	17_34840868
113	2483	17_36998080	17_36977837
113	2484	17_36998080	17_37320807
113	2485	17_36998080	17_37351995
114	2486	17_37553833	17_36954458
114	2485	17_37553833	17_37351995
114	2487	17_37553833	17_37617553
115	1098	17_40256293	17_40117012
115	1099	17_40256293	17_40168222
115	1100	17_40256293	17_40203266
115	1101	17_40256293	17_40331443
115	1105	17_40256293	17_40573100
118	1116	17_46623254	17_46229768
118	1118	17_46623254	17_46371490
119	1116	17_46633399	17_46229768
119	1118	17_46633399	17_46371490
120	1078	17_46653916	17_35287723
120	1116	17_46653916	17_46229768
120	1118	17_46653916	17_46371490
120	1121	17_46653916	17_46795626
120	1122	17_46653916	17_46803742
120	1123	17_46653916	17_46807448
121	1078	17_46660464	17_35287723
121	1112	17_46660464	17_46109003
121	1116	17_46660464	17_46229768
121	1118	17_46660464	17_46371490
121	1121	17_46660464	17_46795626
121	1122	17_46660464	17_46803742
122	1078	17_46670497	17_35287723
122	1112	17_46670497	17_46109003
122	1113	17_46670497	17_46123289
122	1114	17_46670497	17_46163665
122	1115	17_46670497	17_46176874
122	1116	17_46670497	17_46229768
122	1117	17_46670497	17_46271301
122	1118	17_46670497	17_46371490
122	1120	17_46670497	17_46505978
122	121	17_46670497	17_46660464
122	1121	17_46670497	17_46795626
122	1122	17_46670497	17_46803742
122	1123	17_46670497	17_46807448
122	1146	17_46670497	17_77773717
123	1078	17_59527633	17_35287723
124	1137	17_66446836	17_65984671
124	1138	17_66446836	17_66024813
124	1139	17_66446836	17_66229345
124	1140	17_66446836	17_66283756
125	1160	17_80163951	17_80264557
125	2488	17_80163951	17_80289387
125	1161	17_80163951	17_80307309
125	1162	17_80163951	17_80374400
126	2489	18_30351088	18_29521798
126	2490	18_30351088	18_29669601
127	2491	18_32073060	18_32392811
127	2492	18_32073060	18_32552274
128	1167	18_72162045	18_71812557
128	2493	18_72162045	18_71951773
128	2494	18_72162045	18_71979595
129	1172	19_10043738	19_10116136
129	1176	19_10043738	19_10228245
129	1179	19_10043738	19_10360796
129	1180	19_10043738	19_10397276
129	1181	19_10043738	19_10482404
130	2495	19_12820754	19_12861475
130	2496	19_12820754	19_12948280
131	2497	19_17664165	19_17830057
132	2498	19_44574337	19_36907038
132	2499	19_44574337	19_37094586
132	2500	19_44574337	19_37154837
132	2501	19_44574337	19_37177995
132	1193	19_44574337	19_37340147
132	2502	19_44574337	19_37559825
132	1195	19_44574337	19_37662459
132	1196	19_44574337	19_37726761
132	1197	19_44574337	19_37856678
132	2503	19_44574337	19_37996982
132	2504	19_44574337	19_38076198
132	2505	19_44574337	19_38143634
132	2506	19_44574337	19_38179545
132	2507	19_44574337	19_44322341
132	1199	19_44574337	19_44432897
132	1205	19_44574337	19_44715761
132	1207	19_44574337	19_44808745
132	2508	19_44574337	19_44947526
132	1220	19_44574337	19_52089926
132	2509	19_44574337	19_56910693
132	2510	19_44574337	19_57018797
132	2511	19_44574337	19_57074833
132	2512	19_44574337	19_57656531
132	2513	19_44574337	19_57733025
132	2514	19_44574337	19_57751949
132	2515	19_44574337	19_57860073
132	1238	19_44574337	19_57874301
132	2516	19_44574337	19_57900763
132	1239	19_44574337	19_57918671
132	2517	19_44574337	19_57944415
132	2518	19_44574337	19_57963294
132	2519	19_44574337	19_57981755
132	1241	19_44574337	19_58070618
132	2520	19_44574337	19_58125187
132	2521	19_44574337	19_58177681
132	2522	19_44574337	19_58232633
132	2523	19_44574337	19_58418564
132	2524	19_44574337	19_58513303
132	2525	19_44574337	19_58660703
133	1209	19_49468060	19_49138248
133	1210	19_49468060	19_49144873
133	1212	19_49468060	19_49313720
133	1215	19_49468060	19_49389686
134	2526	19_51169584	19_38543471
134	2527	19_51169584	19_50452736
134	2528	19_51169584	19_50526842
134	2529	19_51169584	19_50706225
134	2530	19_51169584	19_50835874
134	2531	19_51169584	19_50867061
134	2532	19_51169584	19_50884897
134	2533	19_51169584	19_51015483
134	2534	19_51169584	19_51225136
134	2535	19_51169584	19_51269603
134	2536	19_51169584	19_51300965
134	2537	19_51169584	19_51305500
134	2538	19_51169584	19_51319574
134	2539	19_51169584	19_51371886
134	2540	19_51169584	19_51405128
134	2541	19_51169584	19_51470971
134	2542	19_51169584	19_51503176
134	2543	19_51169584	19_51523012
134	2544	19_51169584	19_51529146
134	2545	19_51169584	19_51564700
134	2546	19_51169584	19_51584491
134	1217	19_51169584	19_51608596
134	2547	19_51169584	19_51760252
134	1221	19_51169584	19_52143468
134	1223	19_51169584	19_52188083
134	2548	19_51169584	19_55539624
134	2549	19_51169584	19_55578961
135	1201	19_54180130	19_44483713
135	2544	19_54180130	19_51529146
135	1221	19_54180130	19_52143468
135	2550	19_54180130	19_52254325
135	2551	19_54180130	19_52293146
135	2552	19_54180130	19_53793065
135	1232	19_54180130	19_56443577
135	2553	19_54180130	19_57626507
136	2551	19_54193551	19_52293146
137	1228	19_54772821	19_54663038
137	1229	19_54772821	19_54667670
137	1230	19_54772821	19_54703387
137	2554	19_54772821	19_54738657
138	1196	19_58214985	19_37726761
138	2525	19_58214985	19_58660703
139	2555	2_11671529	2_11044486
140	2556	2_17698301	2_17022736
141	1261	2_28110896	2_28614158
142	1271	2_38891323	2_38824491
144	2557	2_66666185	2_66789853
145	2558	2_113539306	2_113334730
145	1313	2_113539306	2_113592713
145	1314	2_113539306	2_113594484
145	2559	2_113539306	2_113666190
146	1259	2_119602892	2_19551658
146	1310	2_119602892	2_105466818
146	1320	2_119602892	2_118749134
146	1322	2_119602892	2_118841344
146	1323	2_119602892	2_119914770
146	1361	2_119602892	2_172956858
146	1368	2_119602892	2_176955985
146	1370	2_119602892	2_176967523
146	1371	2_119602892	2_176969047
147	2560	2_127772226	2_124782517
148	2561	2_136869013	2_135671892
148	2562	2_136869013	2_135805430
148	2563	2_136869013	2_136274798
148	1336	2_136869013	2_136288942
148	2564	2_136869013	2_136566352
148	2565	2_136869013	2_136588697
148	2566	2_136869013	2_136624634
148	1337	2_136869013	2_136741463
148	149	2_136869013	2_138721229
149	1334	2_138721229	2_131850103
149	1335	2_138721229	2_131860828
149	2561	2_138721229	2_135671892
149	2562	2_138721229	2_135805430
149	2563	2_138721229	2_136274798
149	1336	2_138721229	2_136288942
149	1337	2_138721229	2_136741463
149	148	2_138721229	2_136869013
149	1338	2_138721229	2_139256825
149	150	2_138721229	2_139535908
149	1339	2_138721229	2_143631021
149	1340	2_138721229	2_145272823
149	1341	2_138721229	2_148599900
149	1346	2_138721229	2_158296257
150	149	2_139535908	2_138721229
151	1342	2_152211329	2_150438437
151	1343	2_152211329	2_150444008
151	2567	2_152211329	2_150465739
151	2568	2_152211329	2_152113602
151	1344	2_152211329	2_152144313
151	1345	2_152211329	2_153573680
153	2569	2_162928826	2_161993028
153	1347	2_162928826	2_162094370
153	1351	2_162928826	2_162278434
153	2570	2_162928826	2_162876349
154	2571	2_173282693	2_172815213
154	1363	2_173282693	2_173020240
155	1353	2_177013623	2_171664227
155	1359	2_177013623	2_172946170
155	2572	2_177013623	2_172950209
155	1360	2_177013623	2_172954154
155	1361	2_177013623	2_172956858
155	1362	2_177013623	2_172966044
155	1366	2_177013623	2_175195359
155	2573	2_177013623	2_176193018
155	1368	2_177013623	2_176955985
155	1371	2_177013623	2_176969047
155	1377	2_177013623	2_177501443
155	1378	2_177013623	2_177528974
157	2574	2_192705523	2_193058734
158	1399	2_196922711	2_196534910
158	2575	2_196922711	2_197158695
160	1418	2_206543284	2_205405274
161	1418	2_206624678	2_205405274
162	1420	2_208024036	2_207023009
162	1424	2_208024036	2_207629540
162	2576	2_208024036	2_208094710
162	1426	2_208024036	2_208129787
162	1427	2_208024036	2_208174591
162	2577	2_208024036	2_208375419
162	1428	2_208024036	2_208392966
162	2578	2_208024036	2_208487189
163	1424	2_208630833	2_207629540
163	1430	2_208630833	2_208842013
163	1431	2_208630833	2_208882126
163	1432	2_208630833	2_208887211
163	1433	2_208630833	2_208938686
163	2579	2_208630833	2_209009637
163	2580	2_208630833	2_209026471
163	1434	2_208630833	2_209118065
164	2581	2_209222656	2_206976307
164	1420	2_209222656	2_207023009
164	2582	2_209222656	2_207503231
164	1424	2_209222656	2_207629540
164	1436	2_209222656	2_210285850
164	1437	2_209222656	2_210863697
164	1438	2_209222656	2_210893932
164	165	2_209222656	2_211030130
165	2568	2_211030130	2_152113602
165	2583	2_211030130	2_179314763
165	1382	2_211030130	2_183579717
165	1384	2_211030130	2_183942459
165	1386	2_211030130	2_187454374
165	1391	2_211030130	2_190627594
165	2584	2_211030130	2_192541324
165	1402	2_211030130	2_197503232
165	2585	2_211030130	2_198564610
165	2586	2_211030130	2_201381888
165	2587	2_211030130	2_202315723
165	2588	2_211030130	2_203131695
165	2589	2_211030130	2_203496670
165	1417	2_211030130	2_204102624
165	1419	2_211030130	2_206947984
165	2581	2_211030130	2_206976307
165	1420	2_211030130	2_207023009
165	1422	2_211030130	2_207026883
165	1423	2_211030130	2_207138608
165	1424	2_211030130	2_207629540
165	162	2_211030130	2_208024036
165	1428	2_211030130	2_208392966
165	2578	2_211030130	2_208487189
165	1429	2_211030130	2_208575060
165	163	2_211030130	2_208630833
165	2580	2_211030130	2_209026471
165	1434	2_211030130	2_209118065
165	1435	2_211030130	2_209129299
165	1436	2_211030130	2_210285850
165	1437	2_211030130	2_210863697
165	1438	2_211030130	2_210893932
165	1439	2_211030130	2_211340198
165	1440	2_211030130	2_214147251
165	1441	2_211030130	2_215670462
165	2590	2_211030130	2_216172445
165	1442	2_211030130	2_217270739
165	2591	2_211030130	2_224808297
165	2592	2_211030130	2_228332065
166	1444	2_220166130	2_219822117
166	1445	2_220166130	2_219862933
166	1446	2_220166130	2_219877410
166	1447	2_220166130	2_219924073
166	1448	2_220166130	2_220024772
167	1456	2_235397099	2_234863824
167	2593	2_235397099	2_234898810
167	2594	2_235397099	2_234954946
168	1465	20_18487874	20_10411365
168	1466	20_18487874	20_16710408
168	2595	20_18487874	20_17542510
168	2596	20_18487874	20_17660712
168	2597	20_18487874	20_17940563
168	1467	20_18487874	20_17946510
168	1468	20_18487874	20_18118167
168	1469	20_18487874	20_18268774
168	2598	20_18487874	20_19991461
168	1470	20_18487874	20_20033067
168	2599	20_18487874	20_20036027
168	1482	20_18487874	20_54962085
169	1476	20_39765141	20_39647374
169	1477	20_39765141	20_39656513
169	1478	20_39765141	20_39944116
169	1479	20_39765141	20_39963284
169	2600	20_39765141	20_39988617
169	1480	20_39765141	20_40242549
170	1495	20_61146139	20_61405091
170	2601	20_61146139	20_61440411
173	2602	22_30112798	22_30304172
173	2603	22_30112798	22_30333134
173	2604	22_30112798	22_30473725
173	2605	22_30112798	22_30634657
173	2606	22_30112798	22_30640576
173	2607	22_30112798	22_30658278
173	2608	22_30112798	22_30683909
173	2609	22_30112798	22_30789929
173	2610	22_30112798	22_30802336
173	2611	22_30112798	22_30860223
173	2612	22_30112798	22_30901148
174	1511	22_38185568	22_38000189
174	1512	22_38185568	22_38030114
175	2613	22_44389095	22_44703324
175	2614	22_44389095	22_44754456
175	2615	22_44389095	22_44882272
175	1518	22_44389095	22_44960528
175	1519	22_44389095	22_45063606
175	1520	22_44389095	22_45095213
176	2616	22_46440513	22_46458475
177	1522	22_46460566	22_46726720
178	1525	3_9925635	3_9916335
178	1529	3_9925635	3_10324247
178	2617	3_9925635	3_10329158
178	2618	3_9925635	3_10355544
179	2619	3_37491380	3_36775542
179	2620	3_37491380	3_37596250
179	2621	3_37491380	3_37889807
179	1536	3_37491380	3_38010238
180	2622	3_99355490	3_97594898
180	2623	3_99355490	3_98072449
180	2624	3_99355490	3_98210972
180	1570	3_99355490	3_98240929
180	2625	3_99355490	3_98248678
180	2626	3_99355490	3_98447570
180	2627	3_99355490	3_98617768
180	2628	3_99355490	3_98703438
180	181	3_99355490	3_99831381
180	2629	3_99355490	3_99903476
180	2630	3_99355490	3_100670377
182	1576	3_112010363	3_111829537
182	1577	3_112010363	3_111851530
182	1578	3_112010363	3_112217316
182	1579	3_112010363	3_112279729
182	1580	3_112010363	3_112693909
183	1576	3_112050928	3_111829537
183	1577	3_112050928	3_111851530
183	1578	3_112050928	3_112217316
183	1579	3_112050928	3_112279729
183	1580	3_112050928	3_112693909
184	1582	3_122040029	3_121260250
184	1584	3_122040029	3_121310206
184	1585	3_122040029	3_121551930
184	2631	3_122040029	3_121820591
185	2632	3_128208841	3_127790589
185	2633	3_128208841	3_127859176
185	1596	3_128208841	3_128292430
186	1599	3_129310581	3_129146810
186	1600	3_129310581	3_129156967
186	1603	3_129310581	3_129534610
186	1604	3_129310581	3_129610510
186	1606	3_129310581	3_129692784
187	2634	3_137480875	3_137043961
188	2635	3_146260593	3_134201514
188	1607	3_146260593	3_135913712
188	2636	3_146260593	3_142719635
188	2637	3_146260593	3_142882975
188	1608	3_146260593	3_143563882
188	2638	3_146260593	3_143689279
188	2639	3_146260593	3_145779886
188	2640	3_146260593	3_145782472
188	1609	3_146260593	3_145879867
188	1610	3_146260593	3_145962940
188	1611	3_146260593	3_146210673
188	2641	3_146260593	3_146288053
188	2642	3_146260593	3_146305855
188	1615	3_146260593	3_148507471
188	2643	3_146260593	3_148672315
188	2644	3_146260593	3_160472616
189	1614	3_147107290	3_147796068
190	2643	3_149094683	3_148672315
190	191	3_149094683	3_149188454
190	2645	3_149094683	3_149469804
191	2643	3_149188454	3_148672315
191	190	3_149188454	3_149094683
192	1607	3_160120279	3_135913712
192	2646	3_160120279	3_156874674
192	2647	3_160120279	3_158359954
192	2648	3_160120279	3_159555708
192	1628	3_160120279	3_159704236
192	1629	3_160120279	3_159941781
192	2649	3_160120279	3_160232234
192	2644	3_160120279	3_160472616
193	1630	3_164910499	3_161205353
193	1631	3_164910499	3_167098260
194	2650	3_181427106	3_147135359
194	2651	3_181427106	3_181043561
196	1668	4_6908960	4_6621165
196	1669	4_6908960	4_6675206
196	1670	4_6908960	4_6682999
196	1671	4_6908960	4_6705941
196	1672	4_6908960	4_6711924
196	1673	4_6908960	4_6773429
196	1674	4_6908960	4_7040401
196	1675	4_6908960	4_7064676
197	1682	4_41680868	4_41258198
197	2652	4_41680868	4_41877658
198	1682	4_41750111	4_41258198
199	2653	4_41925709	4_37686896
199	1682	4_41925709	4_41258198
200	2654	4_56456073	4_55890113
200	2655	4_56456073	4_56501471
202	1697	4_89438088	4_89116764
202	1698	4_89438088	4_89125833
202	1699	4_89438088	4_89142062
202	1700	4_89438088	4_89150699
204	2656	4_90752542	4_77353399
204	2657	4_90752542	4_85415545
204	2658	4_90752542	4_88896391
204	2659	4_90752542	4_90023814
204	2660	4_90752542	4_90051138
204	203	4_90752542	4_90221777
204	2661	4_90752542	4_90792273
204	2662	4_90752542	4_91046879
205	1704	4_99053201	4_95370467
205	2663	4_99053201	4_99178856
205	1705	4_99053201	4_99575425
205	1706	4_99053201	4_99846712
205	2664	4_99053201	4_99879085
205	1707	4_99053201	4_99914025
205	1708	4_99053201	4_100009667
205	2665	4_99053201	4_100479583
205	1709	4_99053201	4_100737628
205	1710	4_99053201	4_100813385
205	1711	4_99053201	4_100862144
206	1716	4_113151073	4_106626291
206	1717	4_113151073	4_107234896
206	2666	4_113151073	4_107241501
206	2667	4_113151073	4_108638070
206	2668	4_113151073	4_109541262
206	2669	4_113151073	4_110736003
206	2670	4_113151073	4_111435499
206	1718	4_113151073	4_113063940
206	1719	4_113151073	4_113205625
206	1720	4_113151073	4_113429679
206	1721	4_113151073	4_113545277
206	1722	4_113151073	4_113568686
