cell_type	B cell	Macrophage M1	Macrophage M2	Monocyte	Neutrophil	NK cell	T cell CD4+ (non-regulatory)	T cell CD8+	T cell regulatory (Tregs)	Myeloid dendritic cell	uncharacterized cell
TCGA.AB.2888	0.008	0	0.732	0.261	0	0	0	0	0	0	0
TCGA.AB.2920	0.027	0.053	0.011	0.027	0	0.095	0	0	0.027	0.037	0.722
TCGA.AB.2937	0.035	0	0.136	0	0	0.024	0	0	0.015	0.104	0.686
TCGA.AB.2870	0.043	0	0.554	0.232	0	0.014	0	0	0	0	0.157
TCGA.AB.2940	0.037	0	0.172	0.08	0	0.033	0	0	0.009	0	0.669
TCGA.AB.2946	0.04	0	0.303	0.147	0	0.027	0	0	0	0	0.483
TCGA.AB.2897	0.012	0.008	0.006	0.035	0.023	0.077	0	0	0.022	0	0.817
TCGA.AB.2932	0	0	0.919	0.081	0	0	0	0	0	0	0
TCGA.AB.2911	0.033	0	0.222	0.222	0	0.011	0	0	0.013	0	0.498
TCGA.AB.2889	0.021	0	0.554	0.184	0	0.022	0	0	0	0	0.219
TCGA.AB.2884	0.046	0	0.465	0.252	0	0.008	0	0	0	0	0.23
TCGA.AB.2883	0.019	0	0.652	0.194	0	0.027	0	0	0	0	0.107
TCGA.AB.2835	0	0	0.652	0.348	0	0	0	0	0	0	0
TCGA.AB.2892	0.023	0	0.726	0.197	0	0	0	0	0	0	0.054
TCGA.AB.2942	0.03	0	0.476	0.177	0	0.013	0	0	0	0	0.304
TCGA.AB.2948	0	0	0.785	0.215	0	0	0	0	0	0	0
TCGA.AB.2880	0.039	0	0.262	0.13	0	0.033	0	0	0	0	0.535
TCGA.AB.2873	0	0	0.718	0.282	0	0	0	0	0	0	0
TCGA.AB.2933	0.114	0	0.727	0.159	0	0	0	0	0	0	0
TCGA.AB.2992	0.028	0	0.34	0.134	0.105	0.045	0	0	0.007	0	0.339
TCGA.AB.2975	0.014	0.077	0.004	0.041	0	0.033	0	0	0.006	0.001	0.824
TCGA.AB.2982	0.039	0	0.023	0.037	0	0.117	0	0	0.056	0	0.728
TCGA.AB.2983	0.045	0	0.476	0.177	0	0.1	0	0	0.033	0	0.168
TCGA.AB.2970	0	0	1	0	0	0	0	0	0	0	0
TCGA.AB.2966	0.028	0	0.106	0.035	0	0.038	0.005	0	0.026	0.009	0.754
TCGA.AB.3009	0.014	0	0.007	0.073	0.034	0.07	0	0	0.027	0.063	0.711
TCGA.AB.2988	0.023	0.009	0.087	0	0.052	0.054	0	0	0.017	0.009	0.748
TCGA.AB.2999	0.017	0	0.037	0.027	0	0.086	0	0	0.055	0.01	0.767
TCGA.AB.2986	0.017	0.009	0.046	0	0.025	0.024	0	0	0.002	0.023	0.855
TCGA.AB.2944	0.029	0.138	0	0	0	0.033	0	0	0.021	0	0.78
TCGA.AB.3008	0.065	0	0.047	0.045	0.005	0.034	0	0	0.004	0.006	0.794
TCGA.AB.2878	0.023	0.07	0.015	0	0	0.04	0	0	0.035	0.02	0.797
TCGA.AB.2977	0.023	0	0.453	0.207	0	0.04	0	0	0.004	0	0.274
TCGA.AB.3007	0	0	0.031	0	0.001	0.165	0	0	0.066	0.02	0.717
